system,year,items,titles,with_demand,demand_pct
Cataluña,2007,6,0,2,33.3
Cataluña,2008,6,0,4,66.7
Cataluña,2009,6,0,4,66.7
Cataluña,2010,24,0,8,33.3
Cataluña,2011,16,0,5,31.2
Cataluña,2012,16,0,3,18.8
Cataluña,2013,16,0,1,6.2
Cataluña,2014,16,0,2,12.5
Cataluña,2015,16,0,5,31.2
Cataluña,2016,16,0,2,12.5
Cataluña,2017,16,0,1,6.2
Cataluña,2018,16,0,1,6.2
Cataluña,2019,16,0,3,18.8
Cataluña,2020,16,0,6,37.5
Cataluña,2021,16,0,10,62.5
Cataluña,2022,16,0,8,50.0
Cataluña,2023,14,1,7,50.0
Cataluña,2024,7,0,1,14.3
Cataluña,2025,6,1,4,66.7
