ccaa,year,item,block,obligatory,n_options,points,ctx,app,explain,graph,draw,evaluate,note,contextualised,substantive_ctx,competency,competency_full,criteria_met
País Vasco,2025,A1,Gravitación,1,1,2.5,2,1,1,1,0,0,"Galileo satellite; ESA/AVS narrative, design-team role; 'justifica', 'explica', 'discute'; figure for qualitative check",1,1,1,0,4
País Vasco,2025,B1,Electromagnetismo,0,2,2.5,0,0,1,0,1,0,two parallel wires; 'explica razonadamente con esquemas',0,0,0,0,1
País Vasco,2025,B2,Electromagnetismo,0,2,2.5,0,0,0,0,1,0,two point charges; field and potential; vector scheme,0,0,0,0,0
País Vasco,2025,C1,Ondas/Óptica,0,2,2.5,0,0,0,0,1,0,concave mirror; ray tracing,0,0,0,0,0
País Vasco,2025,C2,Ondas/Óptica,0,2,2.5,0,0,0,0,0,0,harmonic wave equation,0,0,0,0,0
País Vasco,2025,D1,Moderna,0,2,2.5,0,0,1,0,0,0,"photoelectric effect, potassium; 'razona si se produce'",0,0,0,0,1
País Vasco,2025,D2,Moderna,0,2,2.5,0,0,0,0,0,0,"photoelectric effect, two wavelengths",0,0,0,0,0
País Vasco,2026,1,Gravitación,1,1,2.5,2,1,1,0,0,1,Starlink alarmist headline; geostationary orbit; compare impact energy with a firecracker; '¿te parece realista?'; reasoning without calculation,1,1,1,1,4
País Vasco,2026,2,Electromagnetismo,1,1,2.5,2,1,1,0,0,1,mountain weather-station microgenerator; two lab configurations; Faraday-Lenz explanation; spec check fem >= 0.50 mV,1,1,1,1,4
País Vasco,2026,3a,Ondas/Óptica,0,2,2.5,2,0,0,0,0,0,"violin string (Mi/La), concert scenario, decibels with two violins",1,1,0,0,1
País Vasco,2026,3b,Ondas/Óptica,0,2,2.5,1,1,1,0,0,1,choose the lens for a projector and justify; projection of a slide; compare image properties,1,0,0,0,3
País Vasco,2026,4a,Moderna,0,2,2.5,1,0,1,0,0,0,photoelectric effect; explain Einstein equation terms; oxidised surface comparison,1,0,0,0,1
País Vasco,2026,4b,Moderna,0,2,2.5,2,1,1,0,1,0,C-14 dating of bone remains; explain law; qualitative sketch of decay curve; estimate age,1,1,1,0,3
Cataluña,2025,1,Gravitación,1,1,2.5,2,1,1,0,0,0,space debris / ISS tool-box (Nov 2023) and ISS de-orbit 2031; 'justifiqueu el signe',1,1,1,0,3
Cataluña,2025,2A,Electromagnetismo,0,2,2.5,2,0,1,0,1,0,Millikan experiment; scheme with forces; reason the sign; what if the drop loses an electron,1,1,1,0,2
Cataluña,2025,2B,Electromagnetismo,0,2,2.5,0,0,1,0,1,0,sliding bar on U-circuit; justify current direction; represent force,0,0,0,0,1
Cataluña,2025,3A,Ondas/Óptica,0,2,2.5,2,0,1,0,1,0,art exhibition: coin inside polycarbonate block; critical angle; where must the second viewer stand,1,1,1,0,2
Cataluña,2025,3B,Ondas/Óptica,0,2,2.5,2,0,0,0,1,0,transverse flute as open pipe; draw harmonics,1,1,0,0,1
Cataluña,2025,4,Moderna,1,1,2.5,2,1,1,0,0,0,Na-24 tracer to measure a patient's blood volume; reason electron vs positron emission,1,1,1,0,3
Cataluña,2026,1A,Gravitación,0,2,2.5,2,1,1,0,0,0,Generalitat nanosatellite (late 2025); deduce period; closed orbit? justify,1,1,1,0,3
Cataluña,2026,1B,Gravitación,0,2,2.5,2,0,1,0,1,1,Halley's comet from historical records; sketch orbit; could Halley have seen it twice? reason,1,1,1,1,3
Cataluña,2026,2,Electromagnetismo,1,1,2.5,2,1,0,0,1,0,X-ray tube; represent field and force on figure; photon energy,1,1,0,0,2
Cataluña,2026,3,Ondas/Óptica,1,1,2.5,2,1,0,0,0,0,mobile-phone vibration motor; wave on a metal surface; sound level at 3 m,1,1,0,0,2
Cataluña,2026,4A,Moderna,0,2,2.5,2,1,0,0,0,1,Chernobyl 40 years: Cs-137 remaining; in which year can the zone be re-inhabited (safety threshold),1,1,1,0,3
Cataluña,2026,4B,Moderna,0,2,2.5,0,0,1,0,0,0,photoelectric cell; justify results for green and red light,0,0,0,0,1
Madrid,2025,1,Gravitación,1,1,2.5,1,0,0,0,0,0,"dwarf planet Eris narrative (discovery, Palomar); mass, g, elliptical-orbit energy, perihelion speed",1,0,0,0,0
Madrid,2025,2A,Electromagnetismo,0,2,2.5,0,0,0,0,0,0,electron-positron pair; field; maximum separation,0,0,0,0,0
Madrid,2025,2B,Electromagnetismo,0,2,2.5,0,0,0,0,0,0,rotating loop / time-varying field; max current,0,0,0,0,0
Madrid,2025,3A,Ondas/Óptica,0,2,2.5,1,0,0,0,0,0,"whale sound detected by two ships; depth, power, sound level",1,0,0,0,0
Madrid,2025,3B,Ondas/Óptica,0,2,2.5,0,0,1,0,1,0,lateral magnification proof; 'razone' whether a diverging lens can invert; ray tracing,0,0,0,0,1
Madrid,2025,4A,Moderna,0,2,2.5,1,1,0,0,0,0,ozone absorbing UV; photon energy; power on a person,1,0,0,0,1
Madrid,2025,4B,Moderna,0,2,2.5,1,1,0,0,0,0,Al-26 burial dating of quartz sediments,1,0,0,0,1
Madrid,2026,1,Electromagnetismo,1,1,2.5,1,0,0,1,0,0,potential measured with a probe between plates; V(x) graph given; E = -dV/dx; acceleration and speed of a charge,1,0,0,0,1
Madrid,2026,2A,Gravitación,0,2,2.5,1,1,0,0,0,0,"communications satellite of known mechanical energy; radius, speed, orbits per day, escape speed",1,0,0,0,1
Madrid,2026,2B,Gravitación,0,2,2.5,0,0,0,0,0,0,two point masses; null-field point; field at a point,0,0,0,0,0
Madrid,2026,3A,Ondas/Óptica,0,2,2.5,0,0,0,1,0,0,"wave parameters read from two graphs (y(x,0) and v(0,t))",0,0,0,0,1
Madrid,2026,3B,Ondas/Óptica,0,2,2.5,0,0,0,0,0,0,ray through a slab; refraction angle; time; separation of rays,0,0,0,0,0
Madrid,2026,4A,Moderna,0,2,2.5,0,0,0,0,0,0,silver plate; two stopping potentials; determine h and work function,0,0,0,0,0
Madrid,2026,4B,Moderna,0,2,2.5,0,0,0,0,0,0,Ra-228 beta decay; activity; decay constant; transformed mass,0,0,0,0,0
Castilla-La Mancha,2025,P1,Gravitación,1,1,2.5,1,0,0,0,0,0,"spacecraft on Saturn; g, escape speed, max height, synchronous orbit (choose 2 of 3 sections)",1,0,0,0,0
Castilla-La Mancha,2025,P2,Electromagnetismo,1,1,2.5,1,1,1,1,0,0,mass spectrometer figure; reason the sign of charges; velocity selector (choose 2 of 3),1,0,0,0,3
Castilla-La Mancha,2025,P3,Ondas/Óptica,1,1,2.5,0,0,1,0,1,0,diverging lens; ray tracing; real/virtual reasoning (choose 2 of 3),0,0,0,0,1
Castilla-La Mancha,2025,C,Cuestiones,1,1,2.5,1,0,1,0,0,0,photoelectric; connected spheres; school-lab pendulum experiment: same result with another bob? why? (choose 2 of 3),1,0,0,0,1
Castilla-La Mancha,2026,A,Gravitación,1,1,2.0,2,1,1,0,0,0,Artemis II / Orion re-entry safety; compare orbital and escape speed; energy to dissipate for a safe landing,1,1,1,0,3
Castilla-La Mancha,2026,B1,Electromagnetismo,1,1,0.5,0,0,1,0,0,0,work to move a charge between potentials; 'razona el resultado',0,0,0,0,1
Castilla-La Mancha,2026,B2.A,Electromagnetismo,0,2,2.5,0,0,0,0,0,0,"rotating rectangular loop; flux, emf, current",0,0,0,0,0
Castilla-La Mancha,2026,B2.B,Electromagnetismo,0,2,2.5,0,0,0,0,1,0,"two charged spheres, one hanging under gravity; force diagram; connection by a wire",0,0,0,0,0
Castilla-La Mancha,2026,C1,Ondas/Óptica,1,1,0.5,0,0,1,0,1,0,construct the image for an object between f and 2f; describe it,0,0,0,0,1
