region,subject,mean_2025,mean_2026,basis,delta
País Vasco,Física,5.470,3.990,EHU deck,-1.480
País Vasco,Matemáticas II,6.730,5.060,EHU deck,-1.670
País Vasco,Química,6.240,6.030,EHU deck,-0.210
País Vasco,Biología,6.450,6.600,EHU deck,0.150
País Vasco,Historia de España,6.910,6.080,EHU deck,-0.830
País Vasco,Euskara II,6.810,6.330,EHU deck,-0.480
País Vasco,Lengua Castellana,6.390,6.420,EHU deck,0.030
País Vasco,Hª Filosofía,7.100,6.810,EHU deck,-0.290
Cataluña,Física,6.040,6.840,Govern dossier (aptes),0.800
Cataluña,Matemáticas II,6.120,4.180,Govern dossier (aptes),-1.940
Cataluña,Química,6.380,6.040,Govern dossier (aptes),-0.340
Cataluña,Biología,6.230,6.020,Govern dossier (aptes),-0.210
Madrid,Física,5.600,6.700,CM chart,1.100
Madrid,Matemáticas II,5.800,6.300,CM chart,0.500
Madrid,Química,6.200,5.900,CM chart,-0.300
Madrid,Biología,5.600,6.300,CM chart,0.700
Andalucía,Física,5.690,5.860,Junta table / ministry 2025,0.170
Andalucía,Matemáticas II,6.542,5.950,"Junta table; 2025 baseline from ministry (ministry EPAU 2025, ordinary, presented-weighted phases)",-0.592
Andalucía,Química,5.490,5.270,"Junta table; 2025 baseline from ministry (ministry EPAU 2025, ordinary, presented-weighted phases)",-0.220
Asturias,Física,5.490,6.620,Uniovi release / ministry 2025,1.130
Asturias,Matemáticas II,6.762,6.862,Uniovi release,0.100
Asturias,Química,7.390,7.670,Uniovi release,0.280
