x,pdf
0,0
0.01,0.0004111
0.02,0.00082254
0.03,0.0012338
0.04,0.0016448
0.05,0.0020554
0.06,0.0024656
0.07,0.0028754
0.08,0.0032848
0.09,0.0036938
0.1,0.0041023
0.11,0.0045104
0.12,0.004918
0.13,0.0053252
0.14,0.0057319
0.15,0.0061381
0.16,0.0065439
0.17,0.0069492
0.18,0.007354
0.19,0.0077584
0.2,0.0081623
0.21,0.0085657
0.22,0.0089686
0.23,0.009371
0.24,0.009773
0.25,0.010174
0.26,0.010575
0.27,0.010976
0.28,0.011376
0.29,0.011775
0.3,0.012174
0.31,0.012573
0.32,0.012971
0.33,0.013368
0.34,0.013765
0.35,0.014162
0.36,0.014558
0.37,0.014953
0.38,0.015348
0.39,0.015743
0.4,0.016137
0.41,0.016531
0.42,0.016924
0.43,0.017316
0.44,0.017708
0.45,0.0181
0.46,0.018491
0.47,0.018881
0.48,0.019271
0.49,0.01966
0.5,0.020049
0.51,0.020438
0.52,0.020826
0.53,0.021213
0.54,0.0216
0.55,0.021987
0.56,0.022373
0.57,0.022758
0.58,0.023143
0.59,0.023527
0.6,0.023911
0.61,0.024294
0.62,0.024677
0.63,0.025059
0.64,0.025441
0.65,0.025822
0.66,0.026203
0.67,0.026583
0.68,0.026963
0.69,0.027342
0.7,0.027721
0.71,0.028099
0.72,0.028477
0.73,0.028854
0.74,0.029231
0.75,0.029607
0.76,0.029982
0.77,0.030357
0.78,0.030732
0.79,0.031106
0.8,0.031479
0.81,0.031852
0.82,0.032225
0.83,0.032596
0.84,0.032968
0.85,0.033339
0.86,0.033709
0.87,0.034079
0.88,0.034448
0.89,0.034817
0.9,0.035185
0.91,0.035553
0.92,0.03592
0.93,0.036286
0.94,0.036652
0.95,0.037018
0.96,0.037383
0.97,0.037748
0.98,0.038112
0.99,0.038475
1,0.038838
1.01,0.0392
1.02,0.039562
1.03,0.039923
1.04,0.040284
1.05,0.040644
1.06,0.041004
1.07,0.041363
1.08,0.041722
1.09,0.04208
1.1,0.042437
1.11,0.042794
1.12,0.043151
1.13,0.043507
1.14,0.043862
1.15,0.044217
1.16,0.044571
1.17,0.044925
1.18,0.045278
1.19,0.045631
1.2,0.045983
1.21,0.046335
1.22,0.046686
1.23,0.047037
1.24,0.047387
