region,university,year,sitting,enrolled,presented,passed,pass_pct,mean,sd,denominator,source_type,source,url
País Vasco,EHU,2026,ordinary,,2066,,39.8,3.99,,presented (2066 examinees); 24.5 % ≤2 pts; 3.2 % zeros,official presentation,EHU 'USaP kalifikazioen inguruan' 6 Jul 2026 pp.3-8,https://www.ehu.eus/documents/d/campusa/20260706-notak-po
País Vasco,EHU,2025,ordinary,2597,2189,1364,62.3,5.47,,presented; ministry specific phase; EHU deck repeats 5.47 and 10 % ≤2,official (ministry + EHU deck),Ministry EPAU 2025 + EHU deck p.5/7,https://www.ehu.eus/documents/d/campusa/20260706-notak-po
Cataluña,Regional (CIC),2026,ordinary,,8021,,,6.84,,students 'aptes per ser assignats a la Universitat' (eligible cohort) — not all presented,official dossier,Govern dossier 'PAU convocatòria ordinària 2026' pp.19-21,https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf
Cataluña,Regional (CIC),2025,ordinary,,7887,,,6.04,,same 'aptes' basis (ordinary only); full-year dossier gives 5.85,official dossier,Govern dossier 2025 p.14 and 2026 back-series,https://govern.cat/govern/docs/2025/06/25/13/42/3957aa0b-4b06-4ec5-8132-4910a83a5845.pdf
Cataluña,Regional (CIC),2024,ordinary,,,,,5.98,,same 'aptes' basis (back-series in 2026 dossier),official dossier,2026 dossier back-series,https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf
Cataluña,Regional (CIC),2023,ordinary,,,,,5.76,,same,official dossier,2026 dossier back-series,https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf
Cataluña,Regional (CIC),2022,ordinary,,,,,5.86,,same,official dossier,2026 dossier back-series,https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf
Andalucía,Distrito Único Andaluz,2026,ordinary,,,,,5.86,,mean of final marks; N not published,official press table,Junta de Andalucía news 667462 (11 Jun 2026) 'Notas medias por materias',https://www.juntadeandalucia.es/organismos/universidadinvestigacioneinnovacion/servicios/actualidad/noticias/detalle/667462.html
Andalucía,Distrito Único Andaluz,2025,ordinary,,,,64,5.69,,unweighted mean of the 10 university/province means in the UMA ponencia; ministry 2025 = 5.69,coordinator ponencia,UMA Ponencia Física 2025-26 slide 27,https://www.uma.es/media/files/PRESENTACI%C3%93N_PONENCIA_UMA_25-26.pdf
Andalucía,Distrito Único Andaluz,2024,ordinary,,,,,5.52,,mean of final marks,official press table,Junta de Andalucía news 512749 (13 Jun 2024),https://www.juntadeandalucia.es/organismos/universidadinvestigacioneinnovacion/servicios/actualidad/noticias/detalle/512749.html
Andalucía,UMA,2025,ordinary,,1419,976,70.93,5.99,,presented (source-internal count inconsistency: aptos+no aptos = 1376),coordinator ponencia,UMA Ponencia Física 2025-26 p.28,https://www.uma.es/media/files/PRESENTACI%C3%93N_PONENCIA_UMA_25-26.pdf
Andalucía,UMA,2025,extraordinary,,160,30,20.0,2.99,,presented,coordinator ponencia,UMA Ponencia Física 2025-26 p.35,https://www.uma.es/media/files/PRESENTACI%C3%93N_PONENCIA_UMA_25-26.pdf
Extremadura,UEx,2026,ordinary,,,,,5.27,,mean; lowest subject; N not published,press quoting UEx release,Canal Extremadura 11 Jun 2026,https://www.canalextremadura.es/noticias/extremadura/el-967-de-los-alumnos-presentados-aprueba-la-pau
