ccaa,year,sitting,phase,[0-5),[5-6),[6-7),[7-8),[8-9),[9-10]
Andalucía,2015,extraordinary,general,65.03,17.79,8.59,4.91,1.23,2.45
Andalucía,2015,extraordinary,specific,63.92,16.94,8.25,5.6,3.68,1.62
Andalucía,2015,ordinary,general,35.29,16.23,14.66,13,12.32,8.5
Andalucía,2015,ordinary,specific,35.07,16.79,12.43,13.64,11.23,10.84
Andalucía,2016,extraordinary,general,84,11.33,3.33,1.33,,
Andalucía,2016,extraordinary,specific,77.07,13.57,5.43,2.58,0.54,0.81
Andalucía,2016,ordinary,general,40.36,15.36,14.22,12.02,10.11,7.92
Andalucía,2016,ordinary,specific,39.67,16.11,11.76,12.7,10.55,9.2
Andalucía,2017,extraordinary,specific,62.85,12.94,12.27,6.63,3.15,2.16
Andalucía,2017,ordinary,specific,37.58,15.43,13.6,13.37,11.73,8.28
Andalucía,2018,extraordinary,specific,60.86,17.93,6.72,7.24,4.31,2.93
Andalucía,2018,ordinary,specific,51.55,15.12,11.55,9.92,7.46,4.4
Andalucía,2019,extraordinary,specific,65.73,16.48,9.36,5.06,2.62,0.75
Andalucía,2019,ordinary,specific,33.21,16.19,13.54,13.81,12.55,10.7
Andalucía,2020,extraordinary,specific,43.36,13.05,9.07,10.18,11.95,12.39
Andalucía,2020,ordinary,specific,35.1,12.77,10.81,13.35,13.82,14.14
Andalucía,2021,extraordinary,specific,62.2,14.51,8.05,6.1,5.73,3.41
Andalucía,2021,ordinary,specific,24.34,12.8,13.28,16.12,17.14,16.31
Andalucía,2022,extraordinary,specific,52.02,15.25,9,9.39,7.82,6.52
Andalucía,2022,ordinary,specific,28.28,15.07,15.06,15.46,14.65,11.47
Andalucía,2023,extraordinary,specific,46.75,16.52,11.61,8.51,8.41,8.21
Andalucía,2023,ordinary,specific,24.31,15.25,14.8,16.83,16.04,12.77
Andalucía,2024,extraordinary,specific,63.48,14.3,6.71,6.16,6.38,2.97
Andalucía,2024,ordinary,specific,33.86,15.31,13.79,14.03,12.63,10.38
Andalucía,2025,extraordinary,specific,69.09,13.47,6.67,5.74,3.51,1.52
Andalucía,2025,ordinary,specific,35.34,14.3,13.91,14.45,12.19,9.81
Aragón,2015,extraordinary,general,63.16,18.42,10.53,5.26,2.63,
Aragón,2015,extraordinary,specific,75.89,11.61,4.46,2.68,3.57,1.79
Aragón,2015,ordinary,general,16.49,12.37,17.53,14.43,21.13,18.04
Aragón,2015,ordinary,specific,22.28,14.61,15.03,15.25,15.99,16.84
Aragón,2016,extraordinary,general,52.38,16.67,7.14,11.9,7.14,4.76
Aragón,2016,extraordinary,specific,41.27,23.02,12.7,10.32,5.56,7.14
Aragón,2016,ordinary,general,13.57,17.09,18.59,16.58,14.07,20.1
Aragón,2016,ordinary,specific,24.32,16.25,15.2,15.93,14.88,13.42
Aragón,2017,extraordinary,specific,49.06,16.35,13.21,11.95,5.03,4.4
Aragón,2017,ordinary,specific,24.78,18.19,14.41,17.57,13.8,11.25
Aragón,2018,extraordinary,specific,34.38,23.44,15.63,10.16,6.25,10.16
Aragón,2018,ordinary,specific,29.85,18.1,12.39,15.53,13.03,11.1
Aragón,2019,extraordinary,specific,49.59,13.01,13.01,9.76,6.5,8.13
Aragón,2019,ordinary,specific,30.94,17.35,14.33,15.8,12.38,9.2
Aragón,2020,extraordinary,specific,34.85,9.09,15.15,12.12,16.67,12.12
Aragón,2020,ordinary,specific,20.07,16.13,12.34,15.54,15.32,20.59
Aragón,2021,extraordinary,specific,34.51,22.12,12.39,6.19,13.27,11.5
Aragón,2021,ordinary,specific,13.12,11.01,11.3,12.54,21.01,31.01
Aragón,2022,extraordinary,specific,35.66,15.38,16.78,8.39,11.19,12.59
Aragón,2022,ordinary,specific,8.98,11.67,12.59,16.48,20.3,29.99
Aragón,2023,extraordinary,specific,38.51,24.84,8.07,12.42,9.32,6.83
Aragón,2023,ordinary,specific,6.9,8.58,11.86,15.62,25,32.04
Aragón,2024,extraordinary,specific,33.75,15.63,15,12.5,11.25,11.88
Aragón,2024,ordinary,specific,6.93,8.37,13.02,16.74,24.13,30.8
Aragón,2025,extraordinary,specific,54.38,15,8.13,8.13,8.75,5.63
Aragón,2025,ordinary,specific,20.63,18.04,14.48,15.73,17.13,13.99
Asturias (Principado de),2015,extraordinary,general,26.32,26.32,13.16,15.79,7.89,10.53
Asturias (Principado de),2015,ordinary,general,25.81,18.06,10.97,16.77,12.9,15.48
Asturias (Principado de),2015,ordinary,specific,13.16,8.37,13.88,16.27,18.66,29.67
Asturias (Principado de),2016,extraordinary,general,37.5,18.75,12.5,18.75,12.5,
Asturias (Principado de),2016,extraordinary,specific,32.69,11.54,9.62,11.54,13.46,21.15
Asturias (Principado de),2016,ordinary,general,16.8,12,8.8,16,19.2,27.2
Asturias (Principado de),2016,ordinary,specific,26.66,12.72,18.64,12.54,11.5,17.94
Asturias (Principado de),2017,extraordinary,specific,60.24,10.84,9.64,9.64,7.23,2.41
Asturias (Principado de),2017,ordinary,specific,26.34,14.43,17.26,17.56,12.65,11.76
Asturias (Principado de),2018,extraordinary,specific,57.55,6.6,16.04,9.43,7.55,2.83
Asturias (Principado de),2018,ordinary,specific,39.57,14.31,13.09,10.2,9.89,12.94
Asturias (Principado de),2019,extraordinary,specific,43.86,12.28,17.54,8.77,7.02,10.53
Asturias (Principado de),2019,ordinary,specific,29.97,13.61,13.46,15.44,14.53,13
Asturias (Principado de),2020,extraordinary,specific,25.58,18.6,13.95,13.95,11.63,16.28
Asturias (Principado de),2020,ordinary,specific,30.29,13.28,12.17,12.31,14.52,17.43
Asturias (Principado de),2021,extraordinary,specific,77.05,8.2,3.28,6.56,1.64,3.28
Asturias (Principado de),2021,ordinary,specific,14.09,10.97,11.32,17.21,21.13,25.29
Asturias (Principado de),2022,extraordinary,specific,64.13,11.96,5.43,8.7,3.26,6.52
Asturias (Principado de),2022,ordinary,specific,28.08,12.43,11.83,17.56,14.22,15.89
Asturias (Principado de),2023,extraordinary,specific,43.21,8.64,16.05,13.58,11.11,7.41
Asturias (Principado de),2023,ordinary,specific,24.71,12.7,14.9,14.43,15.47,17.78
Asturias (Principado de),2024,extraordinary,specific,79.76,10.71,5.95,1.19,2.38,
Asturias (Principado de),2024,ordinary,specific,18.58,8.79,12.57,9.34,17.69,33.04
Asturias (Principado de),2025,extraordinary,specific,48.05,7.79,10.39,7.79,12.99,12.99
Asturias (Principado de),2025,ordinary,specific,34.02,16.59,16.46,14.27,11.46,7.2
Balears (Illes),2015,extraordinary,specific,75.44,7.02,8.77,3.51,1.75,3.51
Balears (Illes),2015,ordinary,general,25,20.16,12.1,19.35,15.32,8.06
Balears (Illes),2015,ordinary,specific,33.2,13.68,14.49,15.9,14.89,7.85
Balears (Illes),2016,extraordinary,specific,73.91,13.04,4.35,4.35,2.9,1.45
Balears (Illes),2016,ordinary,general,44.07,13.56,14.41,16.1,9.32,2.54
Balears (Illes),2016,ordinary,specific,41.19,14.5,14.99,12.19,10.05,7.08
Balears (Illes),2017,extraordinary,specific,65.71,17.14,8.57,2.86,4.29,1.43
Balears (Illes),2017,ordinary,specific,50,12.92,11.23,9.85,6.46,9.54
Balears (Illes),2018,extraordinary,specific,46.9,18.58,10.62,7.96,8.85,7.08
Balears (Illes),2018,ordinary,specific,40.14,18.03,12.54,11.69,10.42,7.18
Balears (Illes),2019,extraordinary,specific,69.42,11.57,10.74,3.31,2.48,2.48
Balears (Illes),2019,ordinary,specific,36.05,13.02,14.45,12.88,12.45,11.16
