,ULL_2026,ULL_2025,ULL_2024,ULPGC_2026,ULPGC_2025,ULPGC_2024
[0-1),0.1493,0.0892,0.0424,0.1124,0.0660,0.0289
[1-2),0.1025,0.1018,0.0629,0.1138,0.0739,0.0364
[2-3),0.1362,0.0955,0.0602,0.0997,0.1069,0.0666
[3-4),0.1274,0.1080,0.1135,0.1306,0.1135,0.0930
[4-5),0.0996,0.0716,0.0889,0.1152,0.0937,0.0955
[5-6),0.1186,0.1621,0.1751,0.1278,0.1332,0.1256
[6-7),0.0966,0.1018,0.1327,0.0983,0.1082,0.1143
[7-8),0.0717,0.0930,0.1218,0.0941,0.1108,0.1357
[8-9),0.0673,0.0879,0.1040,0.0590,0.0686,0.1432
[9-10),0.0307,0.0892,0.0985,0.0492,0.1253,0.1608
