ccaa,year,mean,pass_pct,source
Andalucía,2015,5.641,65.01,ministry
Andalucía,2016,5.382,60.21,ministry
Andalucía,2017,5.5,62.42,ministry
Andalucía,2018,4.65,48.45,ministry
Andalucía,2019,5.72,66.79,ministry
Andalucía,2020,5.73,64.9,ministry
Andalucía,2021,6.41,75.66,ministry
Andalucía,2022,6.04,71.72,ministry
Andalucía,2023,6.29,75.7,ministry
Andalucía,2024,5.72,66.14,ministry
Andalucía,2025,5.69,64.66,ministry
Andalucía,2026,5.86,,found 2026
Aragón,2015,6.647,78.71,ministry
Aragón,2016,6.4,77.54,ministry
Aragón,2017,6.16,75.22,ministry
Aragón,2018,5.92,70.15,ministry
Aragón,2019,5.85,69.06,ministry
Aragón,2020,6.61,79.93,ministry
Aragón,2021,7.38,86.88,ministry
Aragón,2022,7.53,91.02,ministry
Aragón,2023,7.8,93.1,ministry
Aragón,2024,7.78,93.07,ministry
Aragón,2025,6.47,79.37,ministry
Asturias (Principado de),2015,6.956,83.42,ministry
Asturias (Principado de),2016,6.354,75.11,ministry
Asturias (Principado de),2017,6.04,73.66,ministry
Asturias (Principado de),2018,5.43,60.43,ministry
Asturias (Principado de),2019,5.94,70.03,ministry
Asturias (Principado de),2020,6.03,69.71,ministry
Asturias (Principado de),2021,7.1,85.91,ministry
Asturias (Principado de),2022,6.2,71.92,ministry
Asturias (Principado de),2023,6.33,75.29,ministry
Asturias (Principado de),2024,7.04,81.42,ministry
Asturias (Principado de),2025,5.49,65.98,ministry
Asturias (Principado de),2026,6.62,76.87,found 2026
Canarias,2015,5.702,61.78,ministry
Canarias,2016,5.615,63.52,ministry
Canarias,2017,5.25,59.83,ministry
Canarias,2018,5.36,58.32,ministry
Canarias,2019,3.6,32.69,ministry
Canarias,2020,5.25,56.26,ministry
Canarias,2021,6.27,70.08,ministry
Canarias,2022,6.25,71.7,ministry
Canarias,2023,5.04,54.83,ministry
Canarias,2024,5.88,65.68,ministry
Canarias,2025,5.08,53.99,ministry
Canarias,2026,4.248,40.72,found 2026
Cantabria,2015,7.006,84.68,ministry
Cantabria,2016,7.924,93.47,ministry
Cantabria,2017,5.98,69.13,ministry
Cantabria,2018,6.12,71.85,ministry
Cantabria,2019,5.57,62.28,ministry
Cantabria,2020,7.05,81.1,ministry
Cantabria,2021,7.76,88.32,ministry
Cantabria,2022,6.56,75.61,ministry
Cantabria,2023,7.09,85.25,ministry
Cantabria,2024,6.93,78.04,ministry
Cantabria,2025,5.42,62.98,ministry
Castilla-La Mancha,2015,6.334,72.81,ministry
Castilla-La Mancha,2016,5.752,65.95,ministry
Castilla-La Mancha,2017,6.08,69.3,ministry
Castilla-La Mancha,2018,5.42,63.06,ministry
Castilla-La Mancha,2019,6.12,71.1,ministry
Castilla-La Mancha,2020,6.31,71.03,ministry
Castilla-La Mancha,2021,6.08,71.68,ministry
Castilla-La Mancha,2022,6.48,75.12,ministry
Castilla-La Mancha,2023,5.97,71.22,ministry
Castilla-La Mancha,2024,6.57,76.55,ministry
Castilla-La Mancha,2025,5.86,65.58,ministry
Castilla-La Mancha,2026,6.8,80.07,found 2026
Cataluña,2015,5.982,72.1,ministry
Cataluña,2016,5.26,61.22,ministry
Cataluña,2017,6.38,78.97,ministry
Cataluña,2018,7.06,85.69,ministry
Cataluña,2019,6.37,74.82,ministry
Cataluña,2020,6.89,79.76,ministry
Cataluña,2021,6.93,83.57,ministry
Cataluña,2022,5.82,68.68,ministry
Cataluña,2023,5.73,66.62,ministry
Cataluña,2024,5.94,71.54,ministry
