x,pdf
0,0
0.01,0.037358
0.02,0.045148
0.03,0.05042
0.04,0.054518
0.05,0.057913
0.06,0.060835
0.07,0.063412
0.08,0.065725
0.09,0.067829
0.1,0.069762
0.11,0.071552
0.12,0.073221
0.13,0.074785
0.14,0.076259
0.15,0.077653
0.16,0.078975
0.17,0.080234
0.18,0.081435
0.19,0.082584
0.2,0.083686
0.21,0.084744
0.22,0.085762
0.23,0.086742
0.24,0.087688
0.25,0.088603
0.26,0.089487
0.27,0.090343
0.28,0.091174
0.29,0.091979
0.3,0.092761
0.31,0.093521
0.32,0.094261
0.33,0.094981
0.34,0.095682
0.35,0.096365
0.36,0.097031
0.37,0.097681
0.38,0.098316
0.39,0.098936
0.4,0.099542
0.41,0.10013
0.42,0.10071
0.43,0.10128
0.44,0.10183
0.45,0.10238
0.46,0.10291
0.47,0.10343
0.48,0.10394
0.49,0.10444
0.5,0.10493
0.51,0.10542
0.52,0.10589
0.53,0.10635
0.54,0.10681
0.55,0.10725
0.56,0.10769
0.57,0.10813
0.58,0.10855
0.59,0.10897
0.6,0.10938
0.61,0.10978
0.62,0.11017
0.63,0.11056
0.64,0.11095
0.65,0.11132
0.66,0.11169
0.67,0.11206
0.68,0.11242
0.69,0.11277
0.7,0.11312
0.71,0.11346
0.72,0.1138
0.73,0.11413
0.74,0.11445
0.75,0.11478
0.76,0.11509
0.77,0.11541
0.78,0.11571
0.79,0.11602
0.8,0.11632
0.81,0.11661
0.82,0.1169
0.83,0.11719
0.84,0.11747
0.85,0.11775
0.86,0.11802
0.87,0.11829
0.88,0.11856
0.89,0.11882
0.9,0.11908
0.91,0.11933
0.92,0.11958
0.93,0.11983
0.94,0.12008
0.95,0.12032
0.96,0.12056
0.97,0.12079
0.98,0.12102
0.99,0.12125
1,0.12148
1.01,0.1217
1.02,0.12192
1.03,0.12214
1.04,0.12235
1.05,0.12256
1.06,0.12277
1.07,0.12297
1.08,0.12318
1.09,0.12338
1.1,0.12357
1.11,0.12377
1.12,0.12396
1.13,0.12415
1.14,0.12434
