ccaa,year,sitting,phase,enrolled,presented,passed,mean,mean_passed,pass_pct,presentation_pct
Andalucía,2015,extraordinary,general,167,163,57,3.91,6.22,34.97,97.6
Andalucía,2015,extraordinary,pooled,899,840,302,3.821,6.334,35.95,93.44
Andalucía,2015,extraordinary,specific,732,677,245,3.8,6.36,36.19,92.49
Andalucía,2015,ordinary,general,1030,1023,662,5.69,7.11,64.71,99.32
Andalucía,2015,ordinary,pooled,5524,5396,3508,5.641,7.167,65.01,97.68
Andalucía,2015,ordinary,specific,4494,4373,2846,5.63,7.18,65.08,97.31
Andalucía,2016,extraordinary,general,154,150,24,2.98,5.59,16,97.4
Andalucía,2016,extraordinary,pooled,940,887,193,2.955,5.94,21.76,94.36
Andalucía,2016,extraordinary,specific,786,737,169,2.95,5.99,22.93,93.77
Andalucía,2016,ordinary,general,1051,1047,625,5.39,7.07,59.69,99.62
Andalucía,2016,ordinary,pooled,5528,5416,3261,5.382,7.11,60.21,97.97
Andalucía,2016,ordinary,specific,4477,4369,2636,5.38,7.12,60.33,97.59
Andalucía,2017,extraordinary,pooled,663,603,224,3.94,6.52,37.15,90.95
Andalucía,2017,extraordinary,specific,663,603,224,3.94,6.52,37.15,90.95
Andalucía,2017,ordinary,pooled,5391,5191,3240,5.5,7.12,62.42,96.29
Andalucía,2017,ordinary,specific,5391,5191,3240,5.5,7.12,62.42,96.29
Andalucía,2018,extraordinary,pooled,633,580,227,4.08,6.48,39.14,91.63
Andalucía,2018,extraordinary,specific,633,580,227,4.08,6.48,39.14,91.63
Andalucía,2018,ordinary,pooled,5410,5230,2534,4.65,6.83,48.45,96.67
Andalucía,2018,ordinary,specific,5410,5230,2534,4.65,6.83,48.45,96.67
Andalucía,2019,extraordinary,pooled,583,534,183,3.61,6.2,34.27,91.6
Andalucía,2019,extraordinary,specific,583,534,183,3.61,6.2,34.27,91.6
Andalucía,2019,ordinary,pooled,5358,5170,3453,5.72,7.19,66.79,96.49
Andalucía,2019,ordinary,specific,5358,5170,3453,5.72,7.19,66.79,96.49
Andalucía,2020,extraordinary,pooled,502,452,256,5.3,7.41,56.64,90.04
Andalucía,2020,extraordinary,specific,502,452,256,5.3,7.41,56.64,90.04
Andalucía,2020,ordinary,pooled,6170,5918,3841,5.73,7.48,64.9,95.92
Andalucía,2020,ordinary,specific,6170,5918,3841,5.73,7.48,64.9,95.92
Andalucía,2021,extraordinary,pooled,904,820,310,4,6.7,37.8,90.71
Andalucía,2021,extraordinary,specific,904,820,310,4,6.7,37.8,90.71
Andalucía,2021,ordinary,pooled,6495,6295,4763,6.41,7.54,75.66,96.92
Andalucía,2021,ordinary,specific,6495,6295,4763,6.41,7.54,75.66,96.92
Andalucía,2022,extraordinary,pooled,849,767,368,4.64,6.97,47.98,90.34
Andalucía,2022,extraordinary,specific,849,767,368,4.64,6.97,47.98,90.34
Andalucía,2022,ordinary,pooled,6833,6654,4772,6.04,7.27,71.72,97.38
Andalucía,2022,ordinary,specific,6833,6654,4772,6.04,7.27,71.72,97.38
Andalucía,2023,extraordinary,pooled,1129,999,532,4.92,6.99,53.25,88.49
Andalucía,2023,extraordinary,specific,1129,999,532,4.92,6.99,53.25,88.49
Andalucía,2023,ordinary,pooled,7341,7181,5436,6.29,7.34,75.7,97.82
Andalucía,2023,ordinary,specific,7341,7181,5436,6.29,7.34,75.7,97.82
Andalucía,2024,extraordinary,pooled,1006,909,332,4,6.71,36.52,90.36
Andalucía,2024,extraordinary,specific,1006,909,332,4,6.71,36.52,90.36
Andalucía,2024,ordinary,pooled,7369,7049,4662,5.72,7.21,66.14,95.66
Andalucía,2024,ordinary,specific,7369,7049,4662,5.72,7.21,66.14,95.66
Andalucía,2025,extraordinary,pooled,975,854,264,3.5,6.45,30.91,87.59
Andalucía,2025,extraordinary,specific,975,854,264,3.5,6.45,30.91,87.59
Andalucía,2025,ordinary,pooled,8017,7812,5051,5.69,7.22,64.66,97.44
Andalucía,2025,ordinary,specific,8017,7812,5051,5.69,7.22,64.66,97.44
Aragón,2015,extraordinary,general,38,38,14,4.28,6.11,36.84,100
Aragón,2015,extraordinary,pooled,162,150,41,3.586,6.327,27.33,92.59
Aragón,2015,extraordinary,specific,124,112,27,3.35,6.44,24.11,90.32
Aragón,2015,ordinary,general,195,194,162,7.02,7.67,83.51,99.49
Aragón,2015,ordinary,pooled,1188,1132,891,6.647,7.547,78.71,95.29
Aragón,2015,ordinary,specific,993,938,729,6.57,7.52,77.72,94.46
Aragón,2016,extraordinary,general,44,42,20,4.72,6.82,47.62,95.45
Aragón,2016,extraordinary,pooled,193,168,94,5.013,6.733,55.95,87.05
Aragón,2016,extraordinary,specific,149,126,74,5.11,6.71,58.73,84.56
Aragón,2016,ordinary,general,199,199,172,6.88,7.42,86.43,100
