ccaa,year,delta
Andalucía,2016,-0.259
Andalucía,2017,0.118
Andalucía,2018,-0.850
Andalucía,2019,1.070
Andalucía,2020,0.010
Andalucía,2021,0.680
Andalucía,2022,-0.370
Andalucía,2023,0.250
Andalucía,2024,-0.570
Andalucía,2025,-0.030
Aragón,2016,-0.247
Aragón,2017,-0.240
Aragón,2018,-0.240
Aragón,2019,-0.070
Aragón,2020,0.760
Aragón,2021,0.770
Aragón,2022,0.150
Aragón,2023,0.270
Aragón,2024,-0.020
Aragón,2025,-1.310
Asturias (Principado de),2016,-0.602
Asturias (Principado de),2017,-0.314
Asturias (Principado de),2018,-0.610
Asturias (Principado de),2019,0.510
Asturias (Principado de),2020,0.090
Asturias (Principado de),2021,1.070
Asturias (Principado de),2022,-0.900
Asturias (Principado de),2023,0.130
Asturias (Principado de),2024,0.710
Asturias (Principado de),2025,-1.550
Balears (Illes),2016,-0.642
Balears (Illes),2017,-0.250
Balears (Illes),2018,0.370
Balears (Illes),2019,0.350
Balears (Illes),2020,-0.280
Balears (Illes),2021,0.020
Balears (Illes),2022,0.110
Balears (Illes),2023,1.010
Balears (Illes),2024,-0.390
Balears (Illes),2025,-1.650
Canarias,2016,-0.087
Canarias,2017,-0.365
Canarias,2018,0.110
Canarias,2019,-1.760
Canarias,2020,1.650
Canarias,2021,1.020
Canarias,2022,-0.020
Canarias,2023,-1.210
Canarias,2024,0.840
Canarias,2025,-0.800
Cantabria,2016,0.918
Cantabria,2017,-1.944
Cantabria,2018,0.140
Cantabria,2019,-0.550
Cantabria,2020,1.480
Cantabria,2021,0.710
Cantabria,2022,-1.200
Cantabria,2023,0.530
Cantabria,2024,-0.160
Cantabria,2025,-1.510
Castilla y León,2016,0.816
Castilla y León,2017,-1.407
Castilla y León,2018,0.970
Castilla y León,2019,0.040
Castilla y León,2020,-0.240
Castilla y León,2021,0.860
Castilla y León,2022,0.070
Castilla y León,2023,-0.700
Castilla y León,2024,0.420
Castilla y León,2025,0.070
Castilla-La Mancha,2016,-0.582
Castilla-La Mancha,2017,0.328
Castilla-La Mancha,2018,-0.660
Castilla-La Mancha,2019,0.700
Castilla-La Mancha,2020,0.190
Castilla-La Mancha,2021,-0.230
Castilla-La Mancha,2022,0.400
Castilla-La Mancha,2023,-0.510
Castilla-La Mancha,2024,0.600
Castilla-La Mancha,2025,-0.710
Cataluña,2016,-0.722
Cataluña,2017,1.120
Cataluña,2018,0.680
Cataluña,2019,-0.690
Cataluña,2020,0.520
Cataluña,2021,0.040
Cataluña,2022,-1.110
Cataluña,2023,-0.090
Cataluña,2024,0.210
Cataluña,2025,0.040
Comunitat Valenciana,2016,0.308
Comunitat Valenciana,2017,0.322
Comunitat Valenciana,2018,0.010
Comunitat Valenciana,2019,-0.280
Comunitat Valenciana,2020,0.200
Comunitat Valenciana,2021,0.160
Comunitat Valenciana,2022,0.520
Comunitat Valenciana,2023,-0.610
Comunitat Valenciana,2024,0.760
Comunitat Valenciana,2025,-1.170
Extremadura,2016,-0.952
Extremadura,2017,-0.344
Extremadura,2018,0.440
Extremadura,2019,0.510
Extremadura,2020,0.630
Extremadura,2021,1.010
Extremadura,2022,0.410
Extremadura,2023,0.110
Extremadura,2024,-2.100
Extremadura,2025,-0.360
Galicia,2016,-0.571
Galicia,2017,0.022
Galicia,2018,0.050
Galicia,2019,0.160
Galicia,2020,-0.340
Galicia,2021,0.470
Galicia,2022,0.430
Galicia,2023,-1.110
Galicia,2024,0.640
Galicia,2025,0.320
Madrid (Comunidad de),2016,0.021
Madrid (Comunidad de),2017,-0.042
Madrid (Comunidad de),2018,-0.210
Madrid (Comunidad de),2019,-0.380
Madrid (Comunidad de),2020,2.100
Madrid (Comunidad de),2021,-0.240
Madrid (Comunidad de),2022,-1.170
Madrid (Comunidad de),2023,0.890
Madrid (Comunidad de),2024,-0.550
Madrid (Comunidad de),2025,-0.620
Murcia (Región de),2016,-0.662
Murcia (Región de),2017,0.534
Murcia (Región de),2018,-0.320
Murcia (Región de),2019,-0.010
Murcia (Región de),2020,-0.020
Murcia (Región de),2021,0.820
Murcia (Región de),2022,-0.890
Murcia (Región de),2023,0.040
Murcia (Región de),2024,1.050
Murcia (Región de),2025,-1.160
Navarra (Comunidad Foral de),2016,-0.094
Navarra (Comunidad Foral de),2017,-0.530
Navarra (Comunidad Foral de),2018,0.650
Navarra (Comunidad Foral de),2019,-0.030
Navarra (Comunidad Foral de),2020,0.760
Navarra (Comunidad Foral de),2021,0.770
Navarra (Comunidad Foral de),2022,-0.790
Navarra (Comunidad Foral de),2023,0.040
Navarra (Comunidad Foral de),2024,0.670
Navarra (Comunidad Foral de),2025,-1.440
País Vasco,2016,0.699
País Vasco,2017,-0.249
País Vasco,2018,0.270
País Vasco,2019,-0.290
País Vasco,2020,0.570
País Vasco,2021,1.240
País Vasco,2022,-1.620
País Vasco,2023,0.240
País Vasco,2024,-0.210
País Vasco,2025,-0.620
Rioja (La),2016,0.316
Rioja (La),2017,0.228
Rioja (La),2018,0.280
Rioja (La),2019,-0.460
Rioja (La),2020,0.820
Rioja (La),2021,1.340
Rioja (La),2022,-0.880
Rioja (La),2023,0.420
Rioja (La),2024,-0.190
Rioja (La),2025,-1.270
