ccaa,year,extraordinary,ordinary,gap
Andalucía,2015,3.821,5.641,1.820
Andalucía,2016,2.955,5.382,2.427
Andalucía,2017,3.940,5.500,1.560
Andalucía,2018,4.080,4.650,0.570
Andalucía,2019,3.610,5.720,2.110
Andalucía,2020,5.300,5.730,0.430
Andalucía,2021,4.000,6.410,2.410
Andalucía,2022,4.640,6.040,1.400
Andalucía,2023,4.920,6.290,1.370
Andalucía,2024,4.000,5.720,1.720
Andalucía,2025,3.500,5.690,2.190
Aragón,2015,3.586,6.647,3.061
Aragón,2016,5.013,6.400,1.387
Aragón,2017,4.580,6.160,1.580
Aragón,2018,5.470,5.920,0.450
Aragón,2019,5.060,5.850,0.790
Aragón,2020,5.870,6.610,0.740
Aragón,2021,5.490,7.380,1.890
Aragón,2022,5.580,7.530,1.950
Aragón,2023,5.300,7.800,2.500
Aragón,2024,5.770,7.780,2.010
Aragón,2025,4.620,6.470,1.850
Asturias (Principado de),2015,5.234,6.956,1.722
Asturias (Principado de),2016,5.686,6.354,0.668
Asturias (Principado de),2017,4.010,6.040,2.030
Asturias (Principado de),2018,4.280,5.430,1.150
Asturias (Principado de),2019,5.160,5.940,0.780
Asturias (Principado de),2020,5.940,6.030,0.090
Asturias (Principado de),2021,3.390,7.100,3.710
Asturias (Principado de),2022,4.250,6.200,1.950
Asturias (Principado de),2023,5.300,6.330,1.030
Asturias (Principado de),2024,2.990,7.040,4.050
Asturias (Principado de),2025,4.990,5.490,0.500
Balears (Illes),2015,3.206,5.802,2.596
Balears (Illes),2016,3.382,5.160,1.778
Balears (Illes),2017,3.710,4.910,1.200
Balears (Illes),2018,5.040,5.280,0.240
Balears (Illes),2019,3.740,5.630,1.890
Balears (Illes),2020,3.920,5.350,1.430
Balears (Illes),2021,3.580,5.370,1.790
Balears (Illes),2022,4.440,5.480,1.040
Balears (Illes),2023,3.820,6.490,2.670
Balears (Illes),2024,3.370,6.100,2.730
Balears (Illes),2025,3.760,4.450,0.690
Canarias,2015,2.966,5.702,2.736
Canarias,2016,3.393,5.615,2.222
Canarias,2017,2.840,5.250,2.410
Canarias,2018,3.340,5.360,2.020
Canarias,2019,3.550,3.600,0.050
Canarias,2020,3.400,5.250,1.850
Canarias,2021,3.490,6.270,2.780
Canarias,2022,3.100,6.250,3.150
Canarias,2023,3.550,5.040,1.490
Canarias,2024,4.040,5.880,1.840
Canarias,2025,2.620,5.080,2.460
Cantabria,2015,5.685,7.006,1.321
Cantabria,2016,5.221,7.924,2.703
Cantabria,2017,4.130,5.980,1.850
Cantabria,2018,4.380,6.120,1.740
Cantabria,2019,4.510,5.570,1.060
Cantabria,2020,4.380,7.050,2.670
Cantabria,2021,5.440,7.760,2.320
Cantabria,2022,5.060,6.560,1.500
Cantabria,2023,4.890,7.090,2.200
Cantabria,2024,5.460,6.930,1.470
Cantabria,2025,4.940,5.420,0.480
Castilla y León,2015,4.583,5.291,0.708
Castilla y León,2016,3.326,6.107,2.781
Castilla y León,2017,2.890,4.700,1.810
Castilla y León,2018,3.880,5.670,1.790
Castilla y León,2019,4.510,5.710,1.200
Castilla y León,2020,5.110,5.470,0.360
Castilla y León,2021,4.540,6.330,1.790
Castilla y León,2022,3.670,6.400,2.730
Castilla y León,2023,3.930,5.700,1.770
Castilla y León,2024,3.170,6.120,2.950
Castilla y León,2025,3.850,6.190,2.340
Castilla-La Mancha,2015,3.932,6.334,2.402
Castilla-La Mancha,2016,2.937,5.752,2.815
Castilla-La Mancha,2017,3.600,6.080,2.480
Castilla-La Mancha,2018,4.610,5.420,0.810
Castilla-La Mancha,2019,4.260,6.120,1.860
Castilla-La Mancha,2020,3.910,6.310,2.400
Castilla-La Mancha,2021,4.720,6.080,1.360
Castilla-La Mancha,2022,3.980,6.480,2.500
Castilla-La Mancha,2023,4.000,5.970,1.970
Castilla-La Mancha,2024,4.480,6.570,2.090
Castilla-La Mancha,2025,4.620,5.860,1.240
Cataluña,2015,3.378,5.982,2.604
