ccaa,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Andalucía,5.641,5.382,5.500,4.650,5.720,5.730,6.410,6.040,6.290,5.720,5.690
Aragón,6.647,6.400,6.160,5.920,5.850,6.610,7.380,7.530,7.800,7.780,6.470
Asturias (Principado de),6.956,6.354,6.040,5.430,5.940,6.030,7.100,6.200,6.330,7.040,5.490
Balears (Illes),5.802,5.160,4.910,5.280,5.630,5.350,5.370,5.480,6.490,6.100,4.450
Canarias,5.702,5.615,5.250,5.360,3.600,5.250,6.270,6.250,5.040,5.880,5.080
Cantabria,7.006,7.924,5.980,6.120,5.570,7.050,7.760,6.560,7.090,6.930,5.420
Castilla y León,5.291,6.107,4.700,5.670,5.710,5.470,6.330,6.400,5.700,6.120,6.190
Castilla-La Mancha,6.334,5.752,6.080,5.420,6.120,6.310,6.080,6.480,5.970,6.570,5.860
Cataluña,5.982,5.260,6.380,7.060,6.370,6.890,6.930,5.820,5.730,5.940,5.980
Comunitat Valenciana,5.670,5.978,6.300,6.310,6.030,6.230,6.390,6.910,6.300,7.060,5.890
Estado,4.260,4.620,4.766,4.983,3.409,4.642,3.818,4.190,3.494,3.849,3.841
Extremadura,6.736,5.784,5.440,5.880,6.390,7.020,8.030,8.440,8.550,6.450,6.090
Galicia,5.559,4.988,5.010,5.060,5.220,4.880,5.350,5.780,4.670,5.310,5.630
Madrid (Comunidad de),5.851,5.872,5.830,5.620,5.240,7.340,7.100,5.930,6.820,6.270,5.650
Murcia (Región de),5.928,5.266,5.800,5.480,5.470,5.450,6.270,5.380,5.420,6.470,5.310
Navarra (Comunidad Foral de),5.354,5.260,4.730,5.380,5.350,6.110,6.880,6.090,6.130,6.800,5.360
País Vasco,5.440,6.139,5.890,6.160,5.870,6.440,7.680,6.060,6.300,6.090,5.470
Rioja (La),5.786,6.102,6.330,6.610,6.150,6.970,8.310,7.430,7.850,7.660,6.390
Total,5.826,5.677,5.760,5.760,5.598,6.369,6.637,6.109,6.179,6.150,5.651
