ccaa,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,neg_2024_and_2025,any_two_year_run_below_-0.5,positive_years_2016_2023
Andalucía,0.36,0.86,0.02,-0.1,0.0,0.47,-0.16,-0.7,-0.61,-0.1,0.27,False,True,3
Aragón,-0.49,-0.63,-1.55,-0.79,-1.22,-1.8,0.07,-1.48,-0.7,-1.56,-0.84,True,True,1
Asturias (Principado de),0.28,0.34,-1.22,1.35,0.46,0.27,-0.24,0.12,0.73,2.21,-0.58,False,False,6
Balears (Illes),0.12,0.5,1.4,-0.29,0.75,1.0,0.03,0.2,0.15,0.26,-1.28,False,False,7
Canarias,1.13,0.18,0.58,-0.06,-0.75,1.01,1.05,1.0,-0.71,0.43,1.86,False,False,5
Cantabria,-1.61,0.12,-0.03,-1.35,-1.18,0.44,0.31,0.02,-0.77,1.01,-2.97,False,True,4
Castilla y León,-1.18,-3.21,0.29,-1.09,-1.31,0.06,-1.98,0.82,-0.15,-1.46,-0.78,True,True,3
Castilla-La Mancha,1.92,-0.21,1.06,-0.21,0.69,1.02,-0.87,0.39,-0.83,1.27,1.81,False,False,4
Cataluña,-0.06,-1.36,-0.89,-0.09,0.53,0.32,-0.06,-0.44,0.1,-1.01,1.03,False,True,3
Comunitat Valenciana,-0.42,-0.91,-1.04,-0.69,-0.37,-1.73,-1.43,-0.8,-1.55,-1.01,-1.3,True,True,0
Extremadura,0.39,1.33,0.79,1.53,1.96,1.13,1.21,-0.03,0.75,2.15,1.28,False,False,7
Galicia,0.65,1.05,2.29,0.86,0.63,0.42,0.73,1.42,1.11,0.41,-0.84,False,False,8
Madrid (Comunidad de),0.12,1.29,-0.34,0.87,1.2,-0.1,0.9,-0.46,0.08,-1.35,2.12,False,False,5
Murcia (Región de),0.13,-0.28,-1.04,0.46,-0.15,-0.58,1.6,-0.23,0.43,0.66,0.44,False,False,3
Navarra (Comunidad Foral de),-0.91,-0.63,-0.35,0.45,-1.0,-0.96,-0.21,-0.44,-0.04,0.99,0.91,False,True,1
País Vasco,-0.11,1.47,0.79,0.78,1.26,-0.92,-0.38,0.77,2.0,-1.08,-0.59,True,True,6
Rioja (La),-0.3,0.07,-0.75,-1.65,-1.52,-0.06,-0.57,-0.16,0.02,-1.82,-0.53,True,True,2
