ccaa,year,n_items,answered,optionality_pct,oblig_pts,share_items_contextualised,share_items_substantive,share_items_competency,share_items_competency_full,exp_pts_competency,exp_pts_substantive,exp_pts_contextualised,oblig_pts_competency,oblig_pts_substantive,mean_criteria,share_explain,share_graph,share_draw,share_evaluate,share_app,fmt,exp_share_competency,exp_share_substantive,exp_share_contextualised
País Vasco,2025,7,4,75.0,2.5,14.285714285714285,14.285714285714285,14.285714285714285,0.0,2.5,2.5,2.5,2.5,2.5,0.8571428571428571,42.857142857142854,14.285714285714285,42.857142857142854,0.0,14.285714285714285,"Block A obligatory; blocks B, C, D: choose 1 of 2 (2.5 each)",25.0,25.0,25.0
País Vasco,2026,6,4,50.0,5.0,100.0,66.66666666666666,50.0,33.33333333333333,6.25,7.5,10.0,5.0,5.0,2.6666666666666665,83.33333333333334,0.0,16.666666666666664,50.0,66.66666666666666,Ex. 1 and 2 obligatory (competencial); ex. 3 and 4: choose a/b,62.5,75.0,100.0
Cataluña,2025,6,4,50.0,5.0,83.33333333333334,83.33333333333334,66.66666666666666,0.0,7.5,8.75,8.75,5.0,5.0,2.0,83.33333333333334,0.0,66.66666666666666,0.0,33.33333333333333,Four exercises; options A/B in ex. 2 and 3,75.0,87.5,87.5
Cataluña,2026,6,4,50.0,5.0,83.33333333333334,83.33333333333334,50.0,16.666666666666664,3.75,8.75,8.75,0.0,5.0,2.3333333333333335,50.0,0.0,33.33333333333333,33.33333333333333,66.66666666666666,Four exercises; options A/B in ex. 1 and 4,37.5,87.5,87.5
Madrid,2025,7,4,75.0,2.5,57.14285714285714,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.42857142857142855,14.285714285714285,0.0,14.285714285714285,0.0,28.57142857142857,Block 1 obligatory; blocks 2-4: choose A/B,0.0,0.0,62.5
Madrid,2026,7,4,75.0,2.5,28.57142857142857,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.42857142857142855,0.0,28.57142857142857,0.0,0.0,14.285714285714285,Block 1 obligatory (graph item); blocks 2-4: choose A/B,0.0,0.0,37.5
Castilla-La Mancha,2025,4,4,100.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,1.25,75.0,25.0,25.0,0.0,25.0,"Four questions, each: answer 2 of 3 sections",0.0,0.0,75.0
Castilla-La Mancha,2026,9,6,70.0,3.0,22.22222222222222,11.11111111111111,11.11111111111111,0.0,2.0,2.0,3.0,2.0,2.0,0.6666666666666666,33.33333333333333,0.0,22.22222222222222,0.0,22.22222222222222,"A obligatory (2); B, C: fixed 0.5 + choose 1 of 2 (2.5); D: choose 1 of 2 (2)",20.0,20.0,30.0
Asturias,2025,8,5,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,50.0,0.0,37.5,0.0,25.0,Answer any 5 of 8 questions (2 each),0.0,0.0,10.0
Asturias,2026,8,5,100.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.25,12.5,0.0,12.5,0.0,12.5,Answer any 5 of 8 questions (2 each),0.0,0.0,12.5
Andalucía,2025,12,8,60.0,4.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6666666666666666,58.333333333333336,0.0,33.33333333333333,0.0,8.333333333333332,Four blocks: a) obligatory (1) + choose b1/b2 (1.5),0.0,0.0,30.0
Andalucía,2026,14,8,75.0,2.5,28.57142857142857,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.9285714285714286,78.57142857142857,0.0,21.428571428571427,0.0,14.285714285714285,Block A obligatory (a + b); blocks B-D: choose a1/a2 and b1/b2,0.0,0.0,37.5
Canarias,2025,8,4,100.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.375,25.0,0.0,12.5,0.0,12.5,Four blocks: choose option A or B (2.5 each),0.0,0.0,12.5
Canarias,2026,12,7,70.0,3.0,41.66666666666667,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.25,16.666666666666664,0.0,8.333333333333332,0.0,8.333333333333332,Obligatory 1a (1.5) and 2 (1.5); the rest in pairs (2.5/3/3/1.5 per block),0.0,0.0,40.0
Extremadura,2025,7,4,75.0,2.5,28.57142857142857,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,1.0,57.14285714285714,28.57142857142857,0.0,0.0,14.285714285714285,Block A obligatory; blocks B-D: choose 1 of 2,0.0,0.0,37.5
Extremadura,2026,7,4,75.0,2.5,71.42857142857143,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.8571428571428571,28.57142857142857,14.285714285714285,28.57142857142857,0.0,42.857142857142854,Block A obligatory; blocks B-D: choose 1 of 2,0.0,0.0,75.0
Comunitat Valenciana,2025,11,6,85.0,1.5,45.45454545454545,9.090909090909092,9.090909090909092,9.090909090909092,1.5,1.5,5.0,1.5,1.5,1.0909090909090908,45.45454545454545,27.27272727272727,36.36363636363637,9.090909090909092,18.181818181818183,Six questions; question 2 obligatory (1.5); the other five A/B,15.0,15.0,50.0
Comunitat Valenciana,2026,7,4,80.0,2.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.2857142857142858,42.857142857142854,57.14285714285714,14.285714285714285,0.0,28.57142857142857,Four apartados; apartado 1 single option (2); 2-4 A/B (3/3/2),0.0,0.0,30.0
