exercise,option,subitem,points,content,demand,units_exposed,vector_exposed,text_produced
1,-,a.1,0.50,Cálculo de r_geo,numerical,1,0,0
1,-,a.2,0.25,Cálculo de h,numerical,1,0,0
1,-,a.3,0.25,Cálculo de v_orb,numerical,1,0,0
1,-,b.1,0.50,Velocidad de impacto (caída libre desde r),numerical,1,0,0
1,-,b.2,0.50,Comparación energética y conclusión,judgement,0,0,1
1,-,c.1,0.50,Dependencia con la masa,judgement,0,0,1
2,-,a.1,0.25,Definición de flujo magnético,definition,0,1,1
2,-,a.2,0.25,Ley de Faraday-Lenz y signo negativo,definition,0,1,1
2,-,b.1,0.25,Ángulo constante y Phi(t) Configuración I,symbolic,0,1,0
2,-,b.2,0.25,Deducción fem epsilon(t) Configuración I,symbolic,0,1,0
2,-,b.3,0.50,Cálculo numérico a t=7 ms,numerical,1,0,0
2,-,c.1,0.50,Expresión fem Configuración II y cálculo numérico,numerical,1,1,0
2,-,c.2,0.50,Análisis fem máxima y viabilidad,judgement,0,0,1
3,A,a.1,0.25,Longitud de onda en la cuerda,numerical,1,0,0
3,A,a.2,0.25,Longitud de onda en el aire,numerical,1,0,0
3,A,b.1,0.25,Relación frecuencia-longitud,symbolic,0,0,0
3,A,b.2,0.25,Planteamiento f_Mi L = f_La L',symbolic,0,0,0
3,A,b.3,0.25,Cálculo de L',numerical,1,0,0
3,A,b.4,0.25,Distancia donde pisar,numerical,1,0,0
3,A,c.1,0.25,Intensidad con 1 violín,numerical,1,0,0
3,A,c.2,0.25,Nivel sonoro con 1 violín,numerical,1,0,0
3,A,c.3,0.25,Intensidad total (2 violines),numerical,1,0,0
3,A,c.4,0.25,Nivel sonoro con 2 violines,numerical,1,0,0
3,B,a.1,0.50,"Elección de lente (convergente, imagen real)",judgement,0,0,1
3,B,a.2,0.50,Distancia focal f',numerical,1,0,0
3,B,b.1,0.25,Distancia del objeto s,numerical,1,0,0
3,B,b.2,0.25,Aumento y tamaño de la imagen,numerical,1,0,0
3,B,c.1,0.25,Orientación de la imagen (signo de M),judgement,0,0,1
3,B,c.2,0.50,Caso s=f'/2: posición y aumento,numerical,1,0,0
3,B,c.3,0.25,Comparación de propiedades,judgement,0,0,1
4,A,a.1,0.25,Ecuación de Einstein y significado,definition,0,0,1
4,A,a.2,0.25,Energía cinética máxima K_max,numerical,1,0,0
4,A,b.1,0.50,Función trabajo W0,numerical,1,0,0
4,A,b.2,0.50,nu_umbral y lambda_umbral,numerical,1,0,0
4,A,c.1,0.25,Nuevo K_max y comparación,numerical,1,0,1
4,A,c.2,0.50,Nueva función trabajo W0,numerical,1,0,0
4,A,c.3,0.25,Cambio en nu_umbral y explicación,judgement,0,0,1
4,B,a.1,0.25,Ley exponencial N(t)=N0 exp(-lambda t),symbolic,0,0,0
4,B,a.2,0.25,Gráfica cualitativa y significado,graph,0,0,1
4,B,a.3,0.25,Relación lambda-t_medio,symbolic,0,0,0
4,B,a.4,0.25,Cálculo de lambda,numerical,1,0,0
4,B,b.1,0.25,N actual (10 g),numerical,1,0,0
4,B,b.2,0.25,N0 al morir (10 g),numerical,1,0,0
4,B,c.1,0.25,Planteamiento de la ecuación,symbolic,0,0,0
4,B,c.2,0.50,Despeje simbólico de t,symbolic,0,0,0
4,B,c.3,0.25,Cálculo numérico,numerical,1,0,0
