year,materia,media_aptos,n_aptos,flag
2014,Anglès,6.28,,
2014,Biologia,6.46,,
2014,Dibuix tècnic,5.6,,
2014,Electrotècnia,4.61,,
2014,Empresa,6.64,,
2014,Física,5.14,,
2014,Geografia,5.74,,
2014,Geologia/CTMA,6.09,,
2014,Grec,6.96,,
2014,Història,6.56,,
2014,Història de l'art,5.98,,
2014,Història de la filosofia,6.32,,
2014,Llatí,5.65,,
2014,Llengua castellana i literatura,6.53,,
2014,Llengua catalana i literatura,6.23,,
2014,Mat. aplicades CCSS,6.22,,
2014,Matemàtiques,4.0,,
2014,Química,5.76,,
2014,Tecnologia,7.32,,
2015,Anglès,7.1,,
2015,Biologia,6.37,,
2015,Dibuix tècnic,5.67,,
2015,Electrotècnia,5.63,,
2015,Empresa,6.08,,
2015,Física,5.87,,
2015,Geografia,6.29,,
2015,Geologia/CTMA,5.39,,
2015,Grec,7.0,,
2015,Història,6.66,,
2015,Història de l'art,5.94,,
2015,Història de la filosofia,6.21,,
2015,Llatí,5.78,,
2015,Llengua castellana i literatura,6.42,,
2015,Llengua catalana i literatura,6.35,,
2015,Mat. aplicades CCSS,6.83,,
2015,Matemàtiques,6.13,,
2015,Química,6.75,,
2015,Tecnologia,6.75,,
2016,Anglès,7.34,,
2016,Biologia,6.37,,
2016,Dibuix tècnic,6.36,,
2016,Electrotècnia,4.7,,
2016,Empresa,5.15,,
2016,Física,5.24,,
2016,Geografia,6.31,,
2016,Geologia/CTMA,6.54,,
2016,Grec,7.47,,
2016,Història,6.75,,
2016,Història de l'art,5.81,,
2016,Història de la filosofia,6.5,,
2016,Llatí,6.78,,
2016,Llengua castellana i literatura,6.17,,
2016,Llengua catalana i literatura,6.09,,
2016,Mat. aplicades CCSS,6.04,,
2016,Matemàtiques,6.53,,
2016,Química,5.87,,
2016,Tecnologia,6.82,,
2017,Anglès,6.01,,
2017,Biologia,6.47,,
2017,Dibuix tècnic,4.73,,
2017,Electrotècnia,5.77,,
2017,Empresa,5.72,,
2017,Física,6.29,,
2017,Geografia,6.52,,
2017,Geologia/CTMA,5.85,,
2017,Grec,6.62,,
2017,Història,6.67,,
2017,Història de l'art,6.55,,
2017,Història de la filosofia,6.22,,
2017,Llatí,6.79,,
2017,Llengua castellana i literatura,6.46,,
2017,Llengua catalana i literatura,6.31,,
2017,Mat. aplicades CCSS,6.31,,
2017,Matemàtiques,6.21,,
2017,Química,6.03,,
2017,Tecnologia,6.86,,
2018,Anglès,7.36,,
2018,Biologia,6.24,,
2018,Dibuix tècnic,5.68,,
2018,Electrotècnia,6.53,,
2018,Empresa,5.86,,
2018,Física,6.95,,
2018,Geografia,5.85,,
2018,Geologia/CTMA,5.99,,
2018,Grec,6.87,,
2018,Història,6.38,,
2018,Història de l'art,6.07,,
2018,Història de la filosofia,6.46,,
