comunidad,materia,media,n_alumnos,estadistico,fuente,fecha_publicacion
Catalunya,Llengua catalana i literatura,6.46,33046,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Llengua castellana i literatura,6.96,33181,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Anglès,6.71,32870,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Francès,7.44,278,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Alemany,8.32,72,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Italià,6.69,32,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Història,6.47,15053,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Història de la filosofia,6.77,18160,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Anàlisi musical,6.7,304,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Arts escèniques,7.22,448,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Biologia,6.02,12526,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Ciències generals,5.44,266,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Cor i tècnica vocal,8.47,220,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Dibuix artístic,6.96,1353,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Dibuix tècnic,6.65,3158,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Dibuix tècnic arts plàstiques,6.45,272,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Disseny,6.6,1166,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Física,6.84,8021,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Fonaments artístics,6.4,859,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Funcionament de l'empresa,6.8,10114,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Geografia,6.18,8530,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Geologia i ciències ambientals,5.42,467,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Història de la música i la dansa,7.21,89,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Història de l'art,6.47,2129,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Literatura castellana,6.25,1031,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Literatura catalana,5.9,1241,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Literatura dramàtica,6.75,118,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Llengua i cultura gregues,6.99,748,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Llengua i cultura llatines,5.68,3871,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Matemàtiques,4.18,17025,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Matemàtiques aplicades CS,5.64,17738,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Moviments culturals i artístics,6.18,49,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Química,6.04,10736,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Tècniques d'expressió graficoplàstica,7.35,437,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Catalunya,Tecnologia i enginyeria,5.45,4410,media sobre aptos,Nota de premsa Govern.cat (PAU 2026 ordinaria),2026-06-23
Euskadi (UPV/EHU),Física,3.99,,media sobre presentados (criterio informes EHU),"Prensa 2026-07-06 (datos EHU); Física 3,98 según consulta directa EHU",2026-07-06
Euskadi (UPV/EHU),Matemáticas II,5.06,,media sobre presentados (criterio informes EHU),"Prensa 2026-07-06 (datos EHU); Física 3,98 según consulta directa EHU",2026-07-06
Euskadi (UPV/EHU),Matemáticas Aplicadas CCSS,5.83,,media sobre presentados (criterio informes EHU),"Prensa 2026-07-06 (datos EHU); Física 3,98 según consulta directa EHU",2026-07-06
Euskadi (UPV/EHU),Química,6.03,,media sobre presentados (criterio informes EHU),"Prensa 2026-07-06 (datos EHU); Física 3,98 según consulta directa EHU",2026-07-06
Euskadi (UPV/EHU),Historia de España,6.08,,media sobre presentados (criterio informes EHU),"Prensa 2026-07-06 (datos EHU); Física 3,98 según consulta directa EHU",2026-07-06
Euskadi (UPV/EHU),Euskara eta Literatura II,6.33,,media sobre presentados (criterio informes EHU),"Prensa 2026-07-06 (datos EHU); Física 3,98 según consulta directa EHU",2026-07-06
Euskadi (UPV/EHU),Lengua Castellana y Literatura,6.42,,media sobre presentados (criterio informes EHU),"Prensa 2026-07-06 (datos EHU); Física 3,98 según consulta directa EHU",2026-07-06
