year,matricula,no_presentados,aptos,pct_aptos_sobre_presentados,media,media_hombres,media_mujeres,matricula_hombres,matricula_mujeres,media_euskera,media_castellano,matricula_euskera,matricula_castellano,media_publicos,media_otros,source,presentados,pct_mujeres_matricula,pct_euskera_matricula
2010,2504,396,975,46.3,4.45,4.5,4.35,1629,875,4.24,4.77,1538,966,4.16,4.65,Informe PAU 2010 (UPV/EHU),2108,34.9,61.4
2011,2620,10,1294,49.58,4.44,4.41,4.51,1734,886,4.44,4.46,1636,984,4.35,4.51,Informe PAU 2011 (UPV/EHU),2610,33.8,62.4
2012,2362,306,1579,76.8,6.49,6.44,6.61,1591,771,6.59,6.35,1476,886,6.56,6.46,Informe PAU 2012 (UPV/EHU),2056,32.6,62.5
2013,2457,254,1658,75.26,6.16,6.16,6.18,1705,752,6.05,6.36,1543,914,6.1,6.22,Informe PAU 2013 (UPV/EHU),2203,30.6,62.8
2014,2495,242,1485,65.9,5.68,5.69,5.68,1689,806,5.62,5.81,1351,844,5.62,5.73,Informe PAU 2014 (UPV/EHU),2253,32.3,61.5
2015,2459,280,1348,61.86,5.45,5.37,5.62,1684,775,5.4,5.54,1597,862,5.3,5.57,Informe PAU 2015 (UPV/EHU),2179,31.5,64.9
2016,2342,260,1511,72.6,6.16,6.12,6.24,1626,716,6.07,6.34,1581,761,6.07,6.22,Informe PAU 2016 (UPV/EHU),2082,30.6,67.5
2017,2445,661,1197,67.1,5.9,5.8,6.14,1676,769,5.85,6.0,1672,773,5.89,5.89,Informe EAU 2017 (UPV/EHU),1784,31.5,68.4
2018,2575,841,1229,70.87,6.16,6.12,6.31,1751,824,6.13,6.28,1764,811,6.04,6.31,Informe EAU 2018 (UPV/EHU),1734,32.0,68.5
2019,2532,878,1100,66.5,5.89,5.85,5.99,1700,832,5.88,5.92,1797,735,5.77,5.99,Informe EAU 2019 (UPV/EHU),1654,32.9,71.0
2020,2548,917,1227,75.23,6.45,6.36,6.65,1690,858,6.52,6.27,1917,631,6.49,6.45,Informe EAU 2020 (UPV/EHU),1631,33.7,75.2
2021,2355,590,1581,89.58,7.69,7.51,8.02,1543,812,7.72,7.62,1732,623,7.59,7.76,Informe EAU 2021 (UPV/EHU),1765,34.5,73.5
2022,2320,578,1208,69.35,6.06,5.92,6.3,1484,835,5.97,6.29,1740,580,5.97,6.13,Informe EAU 2022 (UPV/EHU),1742,36.0,75.0
