year,matriculados,presentados,aprobados,media_ordinaria,media_extraordinaria,media_nacional_ordinaria,pct_aprobados,gap_vs_nacional
2015,1756,1464,931,5.53,3.84,5.83,63.6,-0.3
2016,1642,1369,990,6.16,3.08,5.67,72.3,0.49
2017,2461,1789,1199,5.89,3.93,5.76,67.0,0.13
2018,2603,1749,1236,6.16,3.35,5.76,70.7,0.4
2019,2550,1665,1103,5.87,2.38,5.6,66.2,0.27
2020,2564,1638,1231,6.44,4.67,6.37,75.2,0.07
2021,2371,1774,1586,7.68,4.66,6.64,89.4,1.04
2022,2334,1742,1208,6.06,4.88,6.11,69.3,-0.05
2023,2429,1830,1294,6.3,4.06,6.18,70.7,0.12
2024,2341,1788,1305,6.09,4.11,6.15,73.0,-0.06
2025,2597,2189,1364,5.47,3.21,5.65,62.3,-0.18
