year,section,category,matricula,np,aptos,pct_aptos,media
2010,territorio,Araba,300.0,48.0,139.0,55.2,4.91
2010,territorio,Bizkaia,1251.0,199.0,467.0,44.4,4.41
2010,territorio,Gipuzkoa,951.0,149.0,368.0,45.9,4.34
2010,fase,General,338.0,2.0,177.0,52.7,4.93
2010,fase,Especifica,2166.0,394.0,798.0,45.0,4.35
2010,red,Publica,1024.0,146.0,369.0,42.0,4.16
2010,red,Privada,1478.0,250.0,605.0,49.3,4.65
2010,sexo,Hombres,1629.0,258.0,655.0,47.8,4.5
2010,sexo,Mujeres,875.0,138.0,320.0,43.4,4.35
2010,idioma,Euskera,1538.0,246.0,556.0,43.0,4.24
2010,idioma,Castellano,966.0,150.0,419.0,51.3,4.77
2010,total,Total,2504.0,396.0,975.0,46.3,4.45
2011,territorio,Araba,323.0,3.0,201.0,62.81,5.21
2011,territorio,Bizkaia,1315.0,6.0,641.0,48.97,4.45
2011,territorio,Gipuzkoa,979.0,1.0,452.0,46.22,4.2
2011,fase,General,698.0,7.0,434.0,62.81,5.42
2011,fase,Especifica,1922.0,3.0,860.0,44.82,4.09
2011,red,Publica,1085.0,6.0,507.0,46.99,4.35
2011,red,Privada,1532.0,4.0,787.0,51.51,4.51
2011,sexo,Hombres,1734.0,6.0,853.0,49.36,4.41
2011,sexo,Mujeres,886.0,4.0,441.0,50.0,4.51
2011,idioma,Euskera,1636.0,3.0,804.0,49.23,4.44
2011,idioma,Castellano,984.0,7.0,490.0,50.15,4.46
2011,total,Total,2620.0,10.0,1294.0,49.58,4.44
2012,territorio,Araba,282.0,32.0,206.0,82.4,6.86
2012,territorio,Bizkaia,1178.0,145.0,791.0,76.57,6.45
2012,territorio,Gipuzkoa,899.0,129.0,582.0,75.58,6.45
2012,fase,General,661.0,2.0,536.0,81.34,6.72
2012,fase,Especifica,1071.0,304.0,1043.0,74.66,6.38
2012,red,Publica,979.0,127.0,650.0,76.29,6.56
2012,red,Privada,1380.0,179.0,929.0,77.35,6.46
2012,sexo,Hombres,1591.0,209.0,1046.0,75.59,6.44
2012,sexo,Mujeres,771.0,97.0,533.0,79.08,6.61
2012,idioma,Euskera,1476.0,208.0,983.0,77.52,6.59
