ccaa,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Andalucía,5.64,5.38,5.5,4.65,5.72,5.73,6.41,6.04,6.29,5.72,5.69
Aragón,6.65,6.4,6.16,5.92,5.85,6.61,7.38,7.53,7.8,7.78,6.47
Asturias (Principado de),6.96,6.35,6.04,5.43,5.94,6.03,7.1,6.2,6.33,7.04,5.49
Balears (Illes),5.8,5.16,4.91,5.28,5.63,5.35,5.37,5.48,6.49,6.1,4.45
Canarias,5.7,5.62,5.25,5.36,3.6,5.25,6.27,6.25,5.04,5.88,5.08
Cantabria,7.01,7.92,5.98,6.12,5.57,7.05,7.76,6.56,7.09,6.93,5.42
Castilla y León,5.29,6.11,4.7,5.67,5.71,5.47,6.33,6.4,5.7,6.12,6.19
Castilla-La Mancha,6.33,5.75,6.08,5.42,6.12,6.31,6.08,6.48,5.97,6.57,5.86
Cataluña,5.98,5.26,6.38,7.06,6.37,6.89,6.93,5.82,5.73,5.94,5.98
Comunitat Valenciana,5.67,5.98,6.3,6.31,6.03,6.23,6.39,6.91,6.3,7.06,5.89
Extremadura,6.74,5.78,5.44,5.88,6.39,7.02,8.03,8.44,8.55,6.45,6.09
Galicia,5.56,4.99,5.01,5.06,5.22,4.88,5.35,5.78,4.67,5.31,5.63
Madrid (Comunidad de),5.85,5.87,5.83,5.62,5.24,7.34,7.1,5.93,6.82,6.27,5.65
Murcia (Región de),5.93,5.27,5.8,5.48,5.47,5.45,6.27,5.38,5.42,6.47,5.31
Navarra (Comunidad Foral de),5.35,5.26,4.73,5.38,5.35,6.11,6.88,6.09,6.13,6.8,5.36
País Vasco,5.44,6.14,5.89,6.16,5.87,6.44,7.68,6.06,6.3,6.09,5.47
Rioja (La),5.79,6.1,6.33,6.61,6.15,6.97,8.31,7.43,7.85,7.66,6.39
