year,sitting,slot,sub,obligatory,desc,block,subtopic
2010,ord,A.P1,G2,0,g(r) on a planet; escape and energy,Gravitación,"g on a planet's surface or at height (mass, radius, g(r))"
2010,ord,A.P2,W1,0,harmonic wave in a pool,Ondas,"Travelling harmonic wave (equation, v, phase)"
2010,ord,B.P1,E1,0,"±q dipole on the axis: E, V, work",Electromagnetismo,"Point charges: field, potential, work"
2010,ord,B.P2,O2,0,converging projector lens,Óptica,"Thin lenses (magnifier, projector, camera)"
2010,extra,A.P1,G1,0,satellite in circular orbit,Gravitación,"Circular orbit / satellite (v, T, energies, escape from orbit)"
2010,extra,A.P2,E2,0,"linear accelerator, protons in E",Electromagnetismo,"Charged particle in a uniform E field (plates, accelerator)"
2010,extra,B.P1,E4,0,"B of an infinite wire, force",Electromagnetismo,"Field of straight currents, forces between wires"
2010,extra,B.P2,M1,0,"solar light intensity, photons",Moderna,Photoelectric effect / photon energy
2011,ord,A.P1,G1,0,ISS orbit (280 000 kg),Gravitación,"Circular orbit / satellite (v, T, energies, escape from orbit)"
2011,ord,A.P2,E2,0,"linear accelerator, uniform E",Electromagnetismo,"Charged particle in a uniform E field (plates, accelerator)"
2011,ord,B.P1,E4,0,infinite wire B field,Electromagnetismo,"Field of straight currents, forces between wires"
2011,ord,B.P2,M1,0,"5 mW laser, photons",Moderna,Photoelectric effect / photon energy
2011,extra,A.P1,G2,0,"g(r) on a planet (g0/2, g0/4)",Gravitación,"g on a planet's surface or at height (mass, radius, g(r))"
2011,extra,A.P2,W1,0,wave on a string,Ondas,"Travelling harmonic wave (equation, v, phase)"
2011,extra,B.P1,E1,0,two +q charges on an axis,Electromagnetismo,"Point charges: field, potential, work"
2011,extra,B.P2,O1,0,light wave refraction,Óptica,"Refraction, Snell, total internal reflection"
2012,ord,A.P1,G1,0,satellite 250 kg at 300 km,Gravitación,"Circular orbit / satellite (v, T, energies, escape from orbit)"
2012,ord,A.P2,E3,0,electron 25 keV in B,Electromagnetismo,Charged particle in a uniform B field (circular motion)
2012,ord,B.P1,W2,0,"SHM, 20 g on a spring",Ondas,"Simple harmonic motion (spring–mass, energy)"
2012,ord,B.P2,E2,0,charged particle in E,Electromagnetismo,"Charged particle in a uniform E field (plates, accelerator)"
2012,extra,A.P1,G3,0,"Earth–Sun orbit, Kepler",Gravitación,"Elliptical orbits, Kepler, angular momentum"
2012,extra,A.P2,W1,0,SHM-driven string wave,Ondas,"Travelling harmonic wave (equation, v, phase)"
