item_sd,format,expected_score,premium_vs_no_choice
0.1,no choice (4 × 2.5),5.486297554762271,0.0
0.1,2010–19: better of two options,5.768192121317894,0.28189456655562317
0.1,2020–24: best 2 of 4 + best 2 of 4,6.135238067707522,0.6489405129452503
0.1,2025: 1 obligatory + 3 × best of 2,5.900603828974761,0.4143062742124899
0.1,2026: 2 obligatory + 2 × best of 2,5.762140738551337,0.2758431837890658
0.2,no choice (4 × 2.5),5.4566655684864696,0.0
0.2,2010–19: better of two options,5.99391642531123,0.5372508568247607
0.2,2020–24: best 2 of 4 + best 2 of 4,6.697714494622286,1.2410489261358162
0.2,2025: 1 obligatory + 3 × best of 2,6.245297063269193,0.7886314947827238
0.2,2026: 2 obligatory + 2 × best of 2,5.9830568179994295,0.5263912495129599
0.3,no choice (4 × 2.5),5.41173411386364,0.0
0.3,2010–19: better of two options,6.149062468927716,0.7373283550640757
0.3,2020–24: best 2 of 4 + best 2 of 4,7.135875376508662,1.7241412626450217
0.3,2025: 1 obligatory + 3 × best of 2,6.498324268267865,1.0865901544042247
0.3,2026: 2 obligatory + 2 × best of 2,6.13995604707991,0.72822193321627
