year,media_hombres,media_mujeres,pct_mujeres_matricula,media_euskera,media_castellano,pct_euskera_matricula,gender_gap_f_minus_m,lang_gap_eu_minus_es
2010,4.5,4.35,34.9,4.24,4.77,61.4,-0.15,-0.53
2011,4.41,4.51,33.8,4.44,4.46,62.4,0.1,-0.02
2012,6.44,6.61,32.6,6.59,6.35,62.5,0.17,0.24
2013,6.16,6.18,30.6,6.05,6.36,62.8,0.02,-0.31
2014,5.69,5.68,32.3,5.62,5.81,61.5,-0.01,-0.19
2015,5.37,5.62,31.5,5.4,5.54,64.9,0.25,-0.14
2016,6.12,6.24,30.6,6.07,6.34,67.5,0.12,-0.27
2017,5.8,6.14,31.5,5.85,6,68.4,0.34,-0.15
2018,6.12,6.31,32,6.13,6.28,68.5,0.19,-0.15
2019,5.85,5.99,32.9,5.88,5.92,71,0.14,-0.04
2020,6.36,6.65,33.7,6.52,6.27,75.2,0.29,0.25
2021,7.51,8.02,34.5,7.72,7.62,73.5,0.51,0.1
2022,5.92,6.3,36,5.97,6.29,75,0.38,-0.32
