region,university,year,sitting,subject,enrolled,presented,passed,pass_pct,mean,sd,denominator_definition,source_url,source_file,page,publication_date
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2026,ordinaria (June 2026),Física,,,8021,,"6,84",,mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly.,https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2025,ordinaria,Física,,,,,"6,04",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2024,ordinaria,Física,,,,,"5,98",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2023,ordinaria,Física,,,,,"5,76",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2022,ordinaria,Física,,,,,"5,86",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2026,ordinaria (June 2026),Matemàtiques,,,17025,,"4,18",,mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly.,https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2025,ordinaria,Matemàtiques,,,,,"6,12",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2024,ordinaria,Matemàtiques,,,,,"4,88",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2023,ordinaria,Matemàtiques,,,,,"5,49",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
Cataluña,Consell Interuniversitari de Catalunya (all CAT universities),2022,ordinaria,Matemàtiques,,,,,"6,12",,"mean over 'estudiants aptes per ser assignats a la Universitat' (students who passed/are eligible); N column = those students. Label carried explicitly in the 2025 dossier for the same table; the 2026 dossier prints only 'ESTUDIANTS' but its 2025 column reproduces the 2025 'aptes' figures exactly. [back-series column, N not given]",https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,sources/raw/cat_dossier_resultats_PAU_2026.pdf,19-21,2026-06-23
