region,university,year,sitting,subject,enrolled,presented,passed,pass_pct,mean,sd,denominator_definition,source_url,source_file,page,publication_date
Aragón,Universidad de Zaragoza,2025,ordinaria (June 2025),Física,1539,1430,,"79,37","6,469","1,953","mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [SD column labelled 'DESV' = desviacion media, i.e. MEAN ABSOLUTE DEVIATION, not standard deviation]",https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'resultados 2025 desglosado',2025 (page last modified 2026-01-20)
Aragón,Universidad de Zaragoza,2025,ordinaria (June 2025),Matemáticas II,2413,2400,,"62,21","5,538","1,990","mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [SD column labelled 'DESV' = desviacion media, i.e. MEAN ABSOLUTE DEVIATION, not standard deviation]",https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'resultados 2025 desglosado',2025 (page last modified 2026-01-20)
Aragón,Universidad de Zaragoza,2025,ordinaria (June 2025),Química,2509,2536,,"82,56","6,893","1,935","mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [SD column labelled 'DESV' = desviacion media, i.e. MEAN ABSOLUTE DEVIATION, not standard deviation]",https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'resultados 2025 desglosado',2025 (page last modified 2026-01-20)
Aragón,Universidad de Zaragoza,2025,extraordinaria (July 2025),Física,193,160,,"45,63","4,622","1,403","mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [SD column labelled 'DESV' = desviacion media, i.e. MEAN ABSOLUTE DEVIATION, not standard deviation]",https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'resultados 2025 desglosado',2025 (page last modified 2026-01-20)
Aragón,Universidad de Zaragoza,2025,extraordinaria (July 2025),Matemáticas II,336,322,,"31,06","3,807","1,391","mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [SD column labelled 'DESV' = desviacion media, i.e. MEAN ABSOLUTE DEVIATION, not standard deviation]",https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'resultados 2025 desglosado',2025 (page last modified 2026-01-20)
Aragón,Universidad de Zaragoza,2025,extraordinaria (July 2025),Química,463,406,,"68,72","5,892","1,683","mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [SD column labelled 'DESV' = desviacion media, i.e. MEAN ABSOLUTE DEVIATION, not standard deviation]",https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'resultados 2025 desglosado',2025 (page last modified 2026-01-20)
Aragón,Universidad de Zaragoza,2020,ordinaria,Física,1515,,,,"6,606",,mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [INSC.= inscritos; mean over presentados],https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'PAU asig 2025',2025
Aragón,Universidad de Zaragoza,2021,ordinaria,Física,1380,,,,"7,377",,mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [INSC.= inscritos; mean over presentados],https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'PAU asig 2025',2025
Aragón,Universidad de Zaragoza,2022,ordinaria,Física,1508,,,,"7,531",,mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [INSC.= inscritos; mean over presentados],https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'PAU asig 2025',2025
Aragón,Universidad de Zaragoza,2023,ordinaria,Física,1594,,,,"7,798",,mean and % aptos computed over ALUMNOS PRESENTADOS (explicit footnote: 'El % de aptos y la nota media estan calculados con relacion a los alumnos presentados') [INSC.= inscritos; mean over presentados],https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,sources/raw/ara_pauresulasig2025.xlsx,sheet 'PAU asig 2025',2025
