region,university,year,sitting,subject,enrolled,presented,passed,pass_pct,mean,sd,denominator_definition,source_url,source_file,page,publication_date
Galicia,SUG (CiUG - UDC/USC/UVigo),2020,ordinaria,Física,,1979,1060,53.6,4.90,,"'Nº Exames' = number of Física exams sat; % aprobados = aprobados/exames; mean over exams sat",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024 (Grupo de Traballo de Física, ABAU 2023 report)
Galicia,SUG (CiUG),2021,ordinaria,Física,,2010,1226,61.0,5.34,,"Nº Exames = exams sat; mean over exams sat",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024
Galicia,SUG (CiUG),2022,ordinaria,Física,,1856,1207,65.0,5.97,,"Nº Exames = exams sat; mean over exams sat",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024
Galicia,SUG (CiUG),2023,ordinaria,Física,,1762,872,49.5,4.68,,"Nº Exames = exams sat; mean over exams sat. Report also gives per-tribunal dispersion: pass % 49.0 ± 8.0, mean 4.68 ± 0.52",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024
Galicia,SUG (CiUG),2020,extraordinaria (setembro),Física,,98,50,51.0,4.39,,"Nº Exames = exams sat; September 2020 sitting",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024
Galicia,SUG (CiUG),2021,extraordinaria,Física,,238,73,30.7,3.46,,"Nº Exames = exams sat",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024
Galicia,SUG (CiUG),2022,extraordinaria,Física,,213,38,17.8,2.65,,"Nº Exames = exams sat",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024
Galicia,SUG (CiUG),2023,extraordinaria,Física,,227,93,41.0,3.99,,"Nº Exames = exams sat. Per-tribunal dispersion: pass % 41 ± 7, mean 3.99 ± 0.46",https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,/home/claude/work/sources/raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,1,2024
Galicia,SUG (CiUG),2026,ordinaria_xuno,TOTAL fase de acceso,,11534,11102,96.25,,,"pass % over presented in the general phase; no per-subject breakdown published",https://www.atlantico.net/galicia/notas-pau-2026-galicia-aprueba_1_20260611-4312660.html,,,2026-06-11
Galicia,SUG (CiUG),2026,ordinaria_xuno,Física,,,,,,,"NOT PUBLISHED as of 2026-09-18. CiUG 'Grupos de traballo' page (last updated 18/09/2026) says 'Actualizando contido' and lists no documents; no 2025/2026/2027 estatisticas_valoracions PDF exists (all candidate paths return HTTP 404)",https://ciug.gal/grupos-de-traballo,,,
