region,university,year,sitting,subject,enrolled,presented,passed,pass_pct,mean,sd,denominator_definition,source_url,source_file,page,publication_date
Madrid,6 universidades públicas (UAH UAM UC3M UCM URJC UPM) agregado,2026,ordinaria_junio,Física,,,,,6.7,,"mean over exams presented in the fase de admisión; value read from bar-chart data label, 1 decimal, no N or pass % published",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2025,ordinaria_junio,Física,,,,,5.6,,"mean over exams presented in the fase de admisión; comparison bar in the 2026 presentation, 1 decimal",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2026,ordinaria_junio,Química,,,,,5.9,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2025,ordinaria_junio,Química,,,,,6.2,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2026,ordinaria_junio,Matemáticas II,,,,,6.3,,"mean over exams presented in the fase de acceso; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,9,2026-06-11
Madrid,6 universidades públicas agregado,2025,ordinaria_junio,Matemáticas II,,,,,5.8,,"mean over exams presented in the fase de acceso; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,9,2026-06-11
Madrid,6 universidades públicas agregado,2026,ordinaria_junio,Biología,,,,,6.3,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2025,ordinaria_junio,Biología,,,,,5.6,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2026,ordinaria_junio,Dibujo Técnico II,,,,,5.3,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2025,ordinaria_junio,Dibujo Técnico II,,,,,6.1,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2026,ordinaria_junio,Geología y Ciencias Ambientales,,,,,6.4,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2025,ordinaria_junio,Geología y Ciencias Ambientales,,,,,5.9,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2026,ordinaria_junio,Tecnología e Ingeniería II,,,,,6.5,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2025,ordinaria_junio,Tecnología e Ingeniería II,,,,,6.1,,"mean over exams presented in the fase de admisión; chart data label",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,14,2026-06-11
Madrid,6 universidades públicas agregado,2026,ordinaria_junio,TOTAL fase de acceso,36864,36720,34921,95.1,,,"pass % over presented (34921/36720); 38519 students presented in the fase de admisión",https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,/home/claude/work/sources/raw/mad_presentacion_resultados_pau_2026.pdf,,2026-06-11
