file,bytes,sha256,description,url,retrieval
raw/and_junta_noticia_667462_pevau2026_ordinaria.html,137759,4b47b298802b4ff190e6480a89088dffa6610620ea904bcd388288a36b821a09,Junta de Andalucía PEvAU 2026 subject means,https://www.juntadeandalucia.es/organismos/universidadinvestigacioneinnovacion/servicios/actualidad/noticias/detalle/667462.html,curl (search agent)
raw/and_uca_reunion_pau_2025_fisica.pdf,1879993,fbbe6ebf225ca9f52d9ac0878e757e179b9cd869e11087474666468d555f7437,UCA Física coordination 2025,https://webacceso.uca.es/,curl (search agent)
raw/and_uma_ponencia_fisica_2025-26.pdf,1845544,4d21025d068f524ba7a8dfd9a14f8e86cb5c6cab197f72e0d10f6a48950b0c4d,UMA Física ponencia 2025-26,https://www.uma.es/media/files/PRESENTACI%C3%93N_PONENCIA_UMA_25-26.pdf,curl (search agent)
raw/and_us_ponencia_fisica_pau_2025-26_reunion_20251110.pdf,4579875,9278640cc3fc15f882b124c9d04c43231e6da201a9fbfe14c3da939a9cea9291,US Física ponencia meeting 10 Nov 2025,https://www.us.es/pevau/coordinacion,curl (search agent)
raw/ara_pauresulasig2025.pdf,104013,ed5e56867336d73672a01a045b849ba9b78208a61573534bfb90dadd560a3f55,UNIZAR results by subject 2025 (PDF),https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.pdf,curl (search agent)
raw/ara_pauresulasig2025.xlsx,62533,0dc6b4b6332aeb8e44ee5c8d5687f6b751bef89923e920a4c637d3544097ca1d,UNIZAR results by subject 2025,https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx,curl (search agent)
raw/can_acta1_coord_fisica_pau2026_20251009.pdf,347410,51ea756d6e22e726e4141f31cc85180ea1643fa762eb7de4c36ded5c4b4cf41b,Canarias Física coordination minutes 1 (Oct 2025),https://www.gobiernodecanarias.org/cmsgob1/export/sites/educacion/web/bachillerato/_galerias/descargas/pau-2026/20251009_acta-primera-reunion-coordinacion-fisica-pau-26.pdf,curl (search agent)
raw/can_acta2_coord_fisica_pau2026_20260327.pdf,139547,00c3eb421cff4784d7b0713be36221f5068d24a4df18cee5ae8b5aaaf9622790,Canarias Física coordination minutes 2 (Mar 2026),https://www.gobiernodecanarias.org/,curl (search agent)
raw/cat_Mitjanes_FG_FE_PAU_Centre_SSTT_2021-2024.xlsx,98432,3857a2241b6ee6ede32b091bdda4e4f0e9052b8cdac32f9d23a307cb5ac12f2b,Means by centre and SSTT 2021-2024 (unused),https://universitats.gencat.cat/,curl (search agent)
raw/cat_dossier_resultats_PAU_2025.pdf,512220,680552c849488b2611bf812a1a5434cc8459b83f1c751fab902565cfb68a1788,Govern dossier PAU 2025,https://govern.cat/govern/docs/2025/06/25/13/42/3957aa0b-4b06-4ec5-8132-4910a83a5845.pdf,curl (search agent)
raw/cat_dossier_resultats_PAU_2026.pdf,698344,63e0fe6fe2b9da6227fe343282f5034f54b6bb707175e5c7ecd884d574c44e05,Govern dossier PAU ordinària 2026,https://govern.cat/govern/docs/2026/06/23/12/39/Dossier_resultats%20PAU%202026.pdf,curl (search agent)
raw/cat_pau_estadistiques_2025.pdf,1346498,1723e5223c74e7579f7c3bc2aea015e20665fbf2e22c49e4877e67b6d719f90d,Recull estadístic PAU 2025,https://universitats.gencat.cat/web/.content/01_acces_i_admissio/pau/documents/informes_i_estad/pau_estadistiques_2025.pdf,curl (search agent)
raw/cnt_Resultados_por_Materia_PAU_Extraordinaria_2025_Web.pdf,91245,91cded84829c2d605339fd41ccda1b40ef39abe2767485f48a8e5be8853ada51,"UC results by subject, extraordinary 2025",https://web.unican.es/admision/Documents/Acceso/Resultados%20por%20Materia%20PAU%20Extraordinaria%202025_Web.pdf,curl (search agent)
